"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2020","8.30","8.47","8.54","8.30","25.81M","-2.01%"
"Sep 29, 2020","8.47","8.80","8.84","8.33","48.26M","-3.42%"
"Sep 28, 2020","8.77","8.90","8.98","8.73","53.22M","-0.34%"
"Sep 25, 2020","8.80","8.77","8.95","8.55","76.30M","2.92%"
"Sep 24, 2020","8.55","8.00","8.62","7.98","98.43M","6.61%"
"Sep 23, 2020","8.02","8.00","8.18","7.82","53.31M","-0.12%"
"Sep 22, 2020","8.03","7.98","8.16","7.89","58.57M","0.37%"
"Sep 21, 2020","8.00","8.06","8.22","7.79","56.98M","0.25%"
"Sep 18, 2020","7.98","7.81","8.25","7.43","91.35M","2.44%"
"Sep 17, 2020","7.79","8.78","8.82","7.79","198.96M","-7.59%"
"Sep 15, 2020","8.43","8.48","8.50","8.11","85.72M","-1.75%"
"Sep 14, 2020","8.58","8.35","8.76","8.20","143.42M","10.57%"
"Sep 11, 2020","7.76","6.45","8.03","6.15","226.35M","20.31%"
"Sep 10, 2020","6.45","7.30","7.44","6.11","168.85M","-9.79%"
"Sep 09, 2020","7.15","7.55","7.64","7.04","135.61M","-6.41%"
"Sep 08, 2020","7.64","8.35","8.43","7.50","93.83M","-7.73%"
"Sep 07, 2020","8.28","8.36","8.59","8.10","29.27M","-1.19%"
"Sep 04, 2020","8.38","8.20","8.74","8.09","37.01M","0.12%"
"Sep 03, 2020","8.37","8.80","9.46","8.11","106.37M","-3.68%"
"Sep 02, 2020","8.69","8.83","8.87","8.63","31.19M","-1.59%"
"Sep 01, 2020","8.83","9.00","9.05","8.80","47.04M","0.80%"
"Aug 28, 2020","8.76","8.69","8.83","8.63","51.03M","-0.45%"
"Aug 27, 2020","8.80","8.75","8.87","8.51","50.99M","0.23%"
"Aug 26, 2020","8.78","8.33","8.82","8.29","68.98M","3.66%"
"Aug 25, 2020","8.47","9.20","9.27","8.25","97.70M","-8.92%"
"Aug 24, 2020","9.30","9.33","9.51","9.24","51.49M","-0.32%"
"Aug 21, 2020","9.33","8.96","9.36","8.90","54.30M","3.09%"
"Aug 19, 2020","9.05","8.53","9.15","8.51","78.39M","4.14%"
"Aug 18, 2020","8.69","7.43","8.70","7.21","102.55M","16.33%"
"Aug 17, 2020","7.47","7.85","8.07","7.13","81.67M","-5.92%"
"Aug 14, 2020","7.94","8.37","8.43","7.77","79.16M","-4.68%"
"Aug 13, 2020","8.33","8.40","8.62","8.20","54.25M","1.96%"
"Aug 12, 2020","8.17","8.77","8.90","7.89","90.29M","-10.22%"
"Aug 11, 2020","9.10","9.43","9.59","9.03","38.21M","0.33%"
"Aug 10, 2020","9.07","9.33","9.34","8.69","46.52M","-67.77%"
"Aug 08, 2020","28.14","28.14","28.14","28.14","-","200.00%"
"Aug 07, 2020","9.38","9.49","9.77","9.37","39.42M","-0.95%"
"Aug 06, 2020","9.47","9.50","9.50","9.30","23.06M","1.72%"
"Aug 05, 2020","9.31","9.45","9.61","9.27","56.17M","-1.48%"
"Aug 04, 2020","9.45","9.01","9.46","8.32","98.92M","5.47%"
"Aug 03, 2020","8.96","8.67","8.96","8.65","46.36M","3.82%"
"Jul 30, 2020","8.63","8.85","8.85","8.51","43.13M","-0.92%"
"Jul 29, 2020","8.71","8.78","8.99","8.57","61.00M","-1.02%"
"Jul 28, 2020","8.80","8.63","8.87","8.53","81.17M","1.97%"
"Jul 27, 2020","8.63","8.67","8.77","8.44","57.50M","1.77%"
"Jul 24, 2020","8.48","8.66","8.77","8.37","76.84M","-2.64%"
"Jul 23, 2020","8.71","8.26","8.71","8.17","74.32M","5.83%"
"Jul 22, 2020","8.23","8.40","8.41","8.11","46.21M","-0.96%"
"Jul 21, 2020","8.31","8.20","8.47","8.09","103.86M","0.48%"
"Jul 20, 2020","8.27","8.03","8.73","7.89","129.12M","7.96%"
"Jul 17, 2020","7.66","6.53","7.67","6.53","169.68M","16.59%"
"Jul 16, 2020","6.57","7.25","7.84","7.01","77.12M","-9.63%"
"Jul 15, 2020","7.27","7.72","7.93","7.17","62.04M","-5.83%"
"Jul 14, 2020","7.72","8.13","8.39","6.83","116.38M","-3.50%"
"Jul 13, 2020","8.00","7.50","8.17","7.47","97.66M","9.44%"
"Jul 10, 2020","7.31","7.00","7.33","7.00","61.85M","3.54%"
"Jul 09, 2020","7.06","6.85","7.14","6.76","69.29M","3.07%"
"Jul 08, 2020","6.85","6.77","6.89","6.74","42.14M","0.44%"
"Jul 07, 2020","6.82","6.87","6.99","6.50","70.99M","2.56%"
"Jul 06, 2020","6.65","6.18","6.88","6.18","120.14M","8.13%"
"Jul 03, 2020","6.15","5.93","6.16","5.77","52.07M","5.49%"
"Jul 02, 2020","5.83","5.72","5.98","5.71","65.86M","2.10%"
"Jul 01, 2020","5.71","5.41","5.73","5.37","68.13M","6.33%"
"Jun 30, 2020","5.37","5.33","5.47","5.27","60.47M","2.68%"
"Jun 29, 2020","5.23","4.97","5.27","4.93","73.24M","5.23%"
"Jun 26, 2020","4.97","5.17","5.17","4.93","42.71M","-3.87%"
"Jun 25, 2020","5.17","5.13","5.21","5.11","49.93M","-0.58%"
"Jun 24, 2020","5.20","5.23","5.23","5.15","26.57M","-0.19%"
"Jun 23, 2020","5.21","5.23","5.25","5.07","48.06M","0.19%"
"Jun 22, 2020","5.20","5.10","5.27","5.07","48.58M","1.36%"
"Jun 19, 2020","5.13","4.77","5.13","4.67","110.75M","4.69%"
"Jun 18, 2020","4.90","5.20","5.27","4.81","125.06M","-6.31%"
"Jun 17, 2020","5.23","5.45","5.46","5.17","46.99M","-1.69%"
"Jun 16, 2020","5.32","5.33","5.43","5.17","62.13M","4.93%"
"Jun 15, 2020","5.07","5.73","5.75","5.00","115.99M","-9.95%"
"Jun 12, 2020","5.63","5.19","5.76","5.17","61.33M","1.08%"
"Jun 11, 2020","5.57","5.74","6.00","5.53","152.70M","-2.11%"
"Jun 10, 2020","5.69","5.67","5.73","5.57","51.45M","0.35%"
"Jun 09, 2020","5.67","5.57","5.75","5.50","77.94M","3.85%"
"Jun 05, 2020","5.46","5.39","5.58","5.33","91.43M","6.02%"
"Jun 04, 2020","5.15","4.77","5.17","4.51","128.55M","5.10%"
"Jun 03, 2020","4.90","4.92","4.92","3.53","125.27M","-0.61%"
"Jun 02, 2020","4.93","4.93","5.19","4.70","84.80M","-4.83%"
"Jun 01, 2020","5.18","4.60","5.41","4.57","100.90M","16.93%"
"May 29, 2020","4.43","4.40","4.55","4.37","109.07M","1.37%"
"May 28, 2020","4.37","4.33","4.52","4.16","106.65M","1.86%"
"May 27, 2020","4.29","4.17","4.44","4.17","97.02M","8.88%"
